Feature_Ablated,Mean_F1,Std_F1,F1_Drop,Importance_Percent
Latitude,0.595376837987808,0.11892711469272971,0.12459177522982712,17.305167606266885
Longitude,0.6946920826588543,0.005629385241375777,0.025276530558780874,3.510782288941279
Log-Area,0.6977960056166514,0.006606703331437162,0.022172607600983718,3.079663084463001
Days Since Start,0.7040578020770947,0.014203808994319719,0.015910811140540493,2.2099312176169694
