,GNN_Mean,GNN_SD,MLP_Mean,MLP_SD
F1,0.7220458168937827,0.012676398941222543,0.701329745226621,0.004104556220313625
Acc,0.7345841500980118,0.010482237975398207,0.7180061607392887,0.0036832669946698124
Balanced_Acc,0.7195778185282149,0.012241527923993445,0.6993709487781458,0.003897092111245899
AUC,0.798999524342081,0.01443487767422421,0.7586384515230618,0.00490847584304289
MCC,0.45631287924955083,0.02156103704623818,0.42163234430433744,0.008418342751371238
