,GNN_Mean,GNN_SD,MLP_Mean,MLP_SD
F1,0.711853096736402,0.0036223909675270035,0.5580126892786864,0.03738887315597123
Acc,0.7177261271352563,0.003765384780503318,0.5949593951274152,0.03790649722562431
Balanced_Acc,0.7111886410848571,0.0037407961715164215,0.567552893033078,0.03649904129725329
AUC,0.7822011165846486,0.0054692278648533375,0.6058702627085466,0.04286014535657133
MCC,0.42445941880034266,0.007356554504735926,0.15172169975482372,0.08145717914276854
