,Euclidean_Mean,Euclidean_SD,Haversine_Mean,Haversine_SD
F1,0.6656038583553825,0.10305824411404746,0.6170268820333233,0.13946232604612824
Acc,0.6963595631475776,0.04632504933126768,0.6663679641556985,0.07727376984809126
Balanced_Acc,0.6779515976622624,0.06143570405632745,0.645212927056009,0.08758049447282175
AUC,0.7455843993129102,0.06964860967095554,0.7079087852614907,0.10597315592522806
MCC,0.36587491116238363,0.12534303721214615,0.3000157885176983,0.1809336137361248
