,GNN_Mean,GNN_SD,MLP_Mean,MLP_SD
F1,0.7210535921060414,0.005108134777830095,0.7023464325280084,0.005062881901799137
Acc,0.7354224958030218,0.004049256298852952,0.7187465025181868,0.004968768411958157
Balanced_Acc,0.7182910696106315,0.00491625362873885,0.70045218571279,0.004692123010687508
AUC,0.8072298159337784,0.0025098664626585195,0.7600356173023968,0.0071166354048644645
MCC,0.4583784772935925,0.008594054588094594,0.4236760565592645,0.010899892421785122
