,Graph,K,Model,F1,F1_std,Accuracy,Accuracy_std
122,combined,21,TransformerConv,0.6139801161666085,0.036806852809647385,0.6197983758050966,0.034734113443411846
123,combined,23,RGCN,0.6144828715655004,0.014663709697532135,0.6158499019882385,0.013930257488766636
124,combined,23,GAT,0.5175673898223496,0.10173090640150587,0.571828619434332,0.05760979365877043
125,combined,23,TransformerConv,0.566006216924403,0.09340194652015789,0.599327919350322,0.039274211297874076
126,combined,25,RGCN,0.606760106253499,0.01096431595263585,0.6117334080089611,0.009677379555097995
127,combined,25,GAT,0.5236323871012556,0.08353045156254353,0.5733688042565108,0.018731401513078855
128,combined,25,TransformerConv,0.5939749787390302,0.038097022927606854,0.5966115933912068,0.03915711998004449
129,combined,27,RGCN,0.6107258663865341,0.009961579524658953,0.612517502100252,0.010808752995215266
130,combined,27,GAT,0.4993065231746649,0.09395292581138456,0.5727527303276394,0.016295958829162512
131,combined,27,TransformerConv,0.6213157824534973,0.02975612279289441,0.624362923550826,0.028867974130217532
132,combined,29,RGCN,0.6126739383306815,0.010352855495345429,0.614869784374125,0.008494809108420244
133,combined,29,GAT,0.4866339476637255,0.0864554531930799,0.5479977597311679,0.05956617560271234
134,combined,29,TransformerConv,0.6147971536214294,0.05374975821236967,0.6197703724446934,0.04774089229843754
135,combined,31,RGCN,0.6095237390933808,0.01527004219748445,0.6105572668720246,0.014792057802854166
136,combined,31,GAT,0.527600738811101,0.06518478314847748,0.546793615233828,0.07128669983439939
137,combined,31,TransformerConv,0.5707227780226518,0.04329384059897596,0.5759731167740129,0.041963911536118406
138,combined,33,RGCN,0.6061166760638979,0.008651446476772387,0.6078129375525063,0.008338467857457853
139,combined,33,GAT,0.5099871606902138,0.08515905070114743,0.5541584990198825,0.03304881804424719
140,combined,33,TransformerConv,0.5896295906054568,0.049754572952060025,0.5945673480817698,0.04729713687301225
141,combined,35,RGCN,0.6137692866133175,0.007658477898373136,0.6146177541304957,0.008298449881348842
142,combined,35,GAT,0.5105292342791687,0.06878251265135464,0.529319518342201,0.06380746178539805
143,combined,35,TransformerConv,0.593069953529306,0.04134276835489044,0.5966676001120134,0.039561335484109214
144,multirelational,5,RGCN,0.5885699733969016,0.012924078048446162,0.6091010921310558,0.017203022940692668
145,multirelational,5,GAT,0.5771659885801923,0.006391773475107904,0.5787734528143378,0.007016280927859729
146,multirelational,5,TransformerConv,0.5962135955222907,0.041482859343891496,0.6125455054606552,0.044002217614070076
